sample,group,year,stage,N,P,K,OM,PH,Ca,Fe,Mn,Cu,Zn
L918B-1,L918B,Third,B,114 ,16.68 ,75,17.83 ,7.4 ,10.75 ,2.48 ,3.05 ,0.98 ,1.65 
L918B-2,L918B,Third,B,114 ,16.88 ,80,17.77 ,7.2 ,10.85 ,2.54 ,3.25 ,0.97 ,1.66 
L918B-3,L918B,Third,B,110 ,15.87 ,75,18.25 ,7.2 ,10.12 ,2.44 ,3.16 ,0.86 ,1.74 
L918S-1,L918S,Third,S,115 ,15.05 ,80,18.53 ,7.7 ,10.74 ,3.32 ,3.65 ,1.25 ,1.91 
L918S-2,L918S,Third,S,115 ,15.66 ,85,18.69 ,7.7 ,10.85 ,3.41 ,3.75 ,1.29 ,1.95 
L918S-3,L918S,Third,S,120 ,15.05 ,90,19.19 ,7.7 ,11.24 ,3.21 ,3.71 ,1.25 ,1.97 
L918T-1,L918T,Third,T,106 ,14.85 ,75,19.15 ,7.9 ,10.77 ,1.72 ,0.79 ,0.83 ,1.96 
L918T-2,L918T,Third,T,101 ,14.24 ,80,19.07 ,7.7 ,10.26 ,1.66 ,0.82 ,0.88 ,1.94 
L918T-3,L918T,Third,T,110 ,13.63 ,70,20.44 ,7.9 ,11.09 ,1.79 ,0.71 ,0.91 ,2.01 
L918F-1,L918F,Third,F,112 ,14.44 ,80,18.39 ,7.9 ,11.19 ,3.45 ,2.75 ,0.93 ,2.19 
L918F-2,L918F,Third,F,112 ,15.26 ,75,18.66 ,7.8 ,11.36 ,3.51 ,2.74 ,0.99 ,2.10 
L918F-3,L918F,Third,F,118 ,15.26 ,75,19.54 ,7.9 ,11.64 ,3.52 ,2.81 ,0.85 ,2.21 
L918H-1,L918H,Third,H,114 ,27.46 ,165,19.55 ,8.0 ,11.69 ,3.75 ,3.91 ,1.08 ,2.00 
L918H-2,L918H,Third,H,119 ,26.85 ,170,20.18 ,8.1 ,12.06 ,3.84 ,3.99 ,1.12 ,1.98 
L918H-3,L918H,Third,H,120 ,28.28 ,175,20.26 ,8.1 ,12.24 ,3.86 ,4.05 ,1.19 ,1.95 
L919B-1,L919B,Second,B,154 ,18.10 ,85,18.53 ,7.6 ,10.83 ,2.72 ,3.64 ,1.09 ,2.47 
L919B-2,L919B,Second,B,150 ,18.71 ,85,18.12 ,7.5 ,10.05 ,2.86 ,3.54 ,1.01 ,2.52 
L919B-3,L919B,Second,B,157 ,18.51 ,90,19.26 ,7.5 ,11.12 ,2.64 ,3.69 ,1.05 ,2.56 
L919S-1,L919S,Second,S,121 ,15.05 ,85,18.68 ,7.9 ,12.20 ,2.62 ,2.42 ,0.91 ,1.73 
L919S-2,L919S,Second,S,115 ,15.26 ,80,17.56 ,7.8 ,11.95 ,2.59 ,2.51 ,1.02 ,1.85 
L919S-3,L919S,Second,S,112 ,15.66 ,85,17.54 ,7.9 ,11.62 ,2.65 ,2.44 ,1.04 ,1.74 
L919T-1,L919T,Second,T,121 ,17.09 ,75,19.10 ,8.1 ,10.86 ,2.85 ,2.14 ,0.92 ,1.92 
L919T-2,L919T,Second,T,125 ,16.27 ,80,20.18 ,8.0 ,11.52 ,2.75 ,2.22 ,0.99 ,2.05 
L919T-3,L919T,Second,T,118 ,16.48 ,80,18.97 ,8.1 ,10.98 ,2.81 ,2.24 ,0.89 ,2.01 
L919F-1,L919F,Second,F,100 ,16.27 ,80,18.58 ,7.7 ,11.61 ,4.87 ,3.40 ,0.95 ,1.90 
L919F-2,L919F,Second,F,105 ,17.90 ,85,19.12 ,7.8 ,12.05 ,5.03 ,3.45 ,0.89 ,1.95 
L919F-3,L919F,Second,F,92 ,16.68 ,85,18.43 ,7.8 ,11.54 ,4.91 ,3.52 ,0.99 ,1.97 
L919H-1,L919H,Second,H,101 ,14.04 ,105,21.82 ,7.6 ,11.55 ,3.70 ,2.84 ,1.03 ,3.84 
L919H-2,L919H,Second,H,108 ,13.43 ,110,22.08 ,7.6 ,11.95 ,3.77 ,2.91 ,0.98 ,3.81 
L919H-3,L919H,Second,H,106 ,13.43 ,115,22.15 ,7.7 ,11.28 ,3.81 ,2.99 ,0.92 ,3.92 
L920B-1,L920B,First,B,165 ,24.82 ,105,21.29 ,7.5 ,12.63 ,3.22 ,2.94 ,1.03 ,2.91 
L920B-2,L920B,First,B,162 ,24.41 ,105,20.98 ,7.4 ,12.11 ,3.55 ,2.99 ,1.09 ,3.01 
L920B-3,L920B,First,B,162 ,25.63 ,105,20.85 ,7.4 ,12.02 ,3.29 ,3.05 ,1.08 ,3.06 
L920S-1,L920S,First,S,144 ,23.39 ,100,23.46 ,7.9 ,11.58 ,2.86 ,3.98 ,1.20 ,3.15 
L920S-2,L920S,First,S,140 ,22.38 ,95,22.98 ,7.7 ,10.98 ,2.95 ,3.88 ,1.22 ,3.14 
L920S-3,L920S,First,S,152 ,23.60 ,95,24.15 ,7.9 ,11.95 ,2.75 ,3.81 ,1.19 ,3.08 
L920T-1,L920T,First,T,127 ,22.17 ,100,22.59 ,7.8 ,11.96 ,3.25 ,3.12 ,1.10 ,3.02 
L920T-2,L920T,First,T,125 ,20.75 ,90,22.13 ,7.8 ,11.57 ,3.36 ,3.11 ,1.15 ,3.12 
L920T-3,L920T,First,T,122 ,22.17 ,90,21.84 ,7.8 ,11.06 ,3.25 ,3.20 ,1.07 ,3.16 
L920F-1,L920F,First,F,123 ,18.10 ,100,21.63 ,7.7 ,11.18 ,3.87 ,4.02 ,1.48 ,3.49 
L920F-2,L920F,First,F,120 ,16.48 ,105,21.53 ,7.6 ,11.24 ,3.75 ,4.21 ,1.52 ,3.55 
L920F-3,L920F,First,F,120 ,17.90 ,110,21.16 ,7.7 ,11.95 ,3.71 ,4.16 ,1.60 ,3.41 
L920H-1,L920H,First,H,136 ,20.34 ,135,24.13 ,7.3 ,11.50 ,3.53 ,2.44 ,0.91 ,3.37 
L920H-2,L920H,First,H,130 ,22.38 ,140,23.95 ,7.3 ,10.98 ,3.59 ,2.41 ,0.86 ,3.41 
L920H-3,L920H,First,H,138 ,21.97 ,135,24.52 ,7.2 ,11.08 ,3.62 ,2.49 ,0.81 ,3.39 
